epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI2_0:i,GNDI2_0:j,GNDI2_0:alpha1
50                  ,0                   ,0                   ,0.17396             ,0.17308             ,2401                ,1955                ,0.46312             
100                 ,0                   ,0                   ,0.13649             ,0.13607             ,2411                ,1949                ,0.47444             
150                 ,0                   ,0                   ,0.13641             ,0.136               ,2426                ,1932                ,0.4747              
200                 ,0                   ,0                   ,0.13639             ,0.13599             ,2439                ,1924                ,0.47471             
250                 ,3e-05               ,0                   ,0.13638             ,0.13598             ,2450                ,1918                ,0.47468             
300                 ,0.00013             ,0                   ,0.13637             ,0.13597             ,2456                ,1912                ,0.47465             
350                 ,0.00021             ,0                   ,0.13637             ,0.13597             ,2461                ,1907                ,0.47462             
400                 ,0.00026             ,0                   ,0.13637             ,0.13596             ,2461                ,1902                ,0.47458             
450                 ,0.00042             ,0                   ,0.13635             ,0.13596             ,2461                ,1897                ,0.47454             
500                 ,0.0005              ,0                   ,0.13635             ,0.13595             ,2461                ,1891                ,0.47448             
550                 ,0.00054             ,0                   ,0.13635             ,0.13595             ,2461                ,1889                ,0.47442             
600                 ,0.00057             ,0                   ,0.13634             ,0.13595             ,2461                ,1889                ,0.47436             
650                 ,0.00061             ,0                   ,0.13634             ,0.13595             ,2461                ,1889                ,0.4743              
700                 ,0.00066             ,0                   ,0.13634             ,0.13594             ,2461                ,1889                ,0.47423             
750                 ,0.00071             ,0                   ,0.13634             ,0.13594             ,2461                ,1889                ,0.47416             
800                 ,0.00077             ,1e-05               ,0.13633             ,0.13594             ,2461                ,1889                ,0.47409             
850                 ,0.00085             ,6e-05               ,0.13633             ,0.13594             ,2461                ,1889                ,0.47402             
900                 ,0.00094             ,0.00012             ,0.13632             ,0.13593             ,2461                ,1889                ,0.47395             
950                 ,0.00104             ,0.00019             ,0.13631             ,0.13593             ,2461                ,1889                ,0.47387             
1000                ,0.00117             ,0.00027             ,0.1363              ,0.13592             ,2461                ,1889                ,0.4738              
1050                ,0.00132             ,0.00036             ,0.13629             ,0.13592             ,2461                ,1889                ,0.47372             
1100                ,0.00149             ,0.00047             ,0.13628             ,0.13591             ,2461                ,1889                ,0.47365             
1150                ,0.00169             ,0.00059             ,0.13627             ,0.1359              ,2461                ,1889                ,0.47358             
