epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3_0:i,GNDI3_0:j,GNDI3_0:k,GNDI3_0:alpha1,GNDI3_0:alpha2
50                  ,0                   ,0                   ,0.14048             ,0.13981             ,3573                ,1614                ,1060                ,0.14895             ,0.60477             
100                 ,0.01315             ,0.01422             ,0.13548             ,0.13497             ,3565                ,1616                ,1065                ,0.15172             ,0.60109             
150                 ,0.02577             ,0.02791             ,0.13461             ,0.13403             ,3563                ,1618                ,1047                ,0.14718             ,0.60054             
200                 ,0.04607             ,0.05142             ,0.13321             ,0.1324              ,3565                ,1616                ,1006                ,0.1386              ,0.6006              
250                 ,0.09059             ,0.1028              ,0.13006             ,0.12876             ,3569                ,1599                ,941                 ,0.12334             ,0.60181             
300                 ,0.17521             ,0.19645             ,0.12386             ,0.12186             ,3574                ,1529                ,869                 ,0.09644             ,0.60489             
350                 ,0.286               ,0.31619             ,0.11524             ,0.11241             ,3572                ,1434                ,805                 ,0.05271             ,0.61062             
400                 ,0.40641             ,0.44385             ,0.10508             ,0.10138             ,3547                ,1392                ,753                 ,-0.00077            ,0.61876             
450                 ,0.52574             ,0.56242             ,0.09392             ,0.08992             ,3506                ,1360                ,711                 ,-0.02991            ,0.62259             
500                 ,0.61043             ,0.64345             ,0.08512             ,0.08117             ,3472                ,1320                ,679                 ,-0.0474             ,0.62786             
550                 ,0.65126             ,0.67967             ,0.08054             ,0.07694             ,3464                ,1287                ,655                 ,-0.04193            ,0.62975             
600                 ,0.67603             ,0.69951             ,0.07763             ,0.07452             ,3463                ,1259                ,635                 ,-0.02594            ,0.63112             
650                 ,0.69276             ,0.71262             ,0.0756              ,0.07287             ,3463                ,1236                ,618                 ,-0.00837            ,0.63253             
700                 ,0.70597             ,0.72263             ,0.07395             ,0.07159             ,3460                ,1217                ,604                 ,0.01495             ,0.63305             
750                 ,0.71732             ,0.73101             ,0.07251             ,0.0705              ,3460                ,1199                ,591                 ,0.03436             ,0.63572             
800                 ,0.72727             ,0.73875             ,0.07122             ,0.06948             ,3459                ,1181                ,580                 ,0.05734             ,0.63749             
850                 ,0.73337             ,0.74449             ,0.07042             ,0.06871             ,3458                ,1164                ,570                 ,0.07889             ,0.6392              
900                 ,0.73816             ,0.74889             ,0.06979             ,0.06812             ,3456                ,1147                ,561                 ,0.09968             ,0.64051             
950                 ,0.74195             ,0.75196             ,0.06928             ,0.0677              ,3456                ,1130                ,553                 ,0.11587             ,0.64165             
1000                ,0.74458             ,0.7541              ,0.06893             ,0.06741             ,3456                ,1119                ,546                 ,0.12833             ,0.64304             
1050                ,0.74651             ,0.75556             ,0.06867             ,0.06721             ,3456                ,1111                ,539                 ,0.13878             ,0.6443              
1100                ,0.74807             ,0.7568              ,0.06845             ,0.06704             ,3456                ,1104                ,534                 ,0.14635             ,0.64551             
1150                ,0.74943             ,0.75773             ,0.06827             ,0.06691             ,3456                ,1098                ,528                 ,0.15231             ,0.64625             
1200                ,0.75059             ,0.75857             ,0.06811             ,0.06679             ,3456                ,1093                ,523                 ,0.15824             ,0.64669             
1250                ,0.7516              ,0.75932             ,0.06797             ,0.06669             ,3456                ,1091                ,518                 ,0.16352             ,0.64699             
1300                ,0.75256             ,0.75985             ,0.06784             ,0.06662             ,3456                ,1091                ,513                 ,0.16717             ,0.6471              
1350                ,0.75356             ,0.76059             ,0.0677              ,0.06651             ,3456                ,1091                ,508                 ,0.17272             ,0.64719             
1400                ,0.75452             ,0.7613              ,0.06757             ,0.06642             ,3456                ,1091                ,503                 ,0.17704             ,0.64723             
1450                ,0.75555             ,0.76188             ,0.06743             ,0.06633             ,3456                ,1091                ,498                 ,0.18058             ,0.64697             
1500                ,0.75654             ,0.76257             ,0.06729             ,0.06624             ,3456                ,1091                ,493                 ,0.18414             ,0.64626             
1550                ,0.7576              ,0.76338             ,0.06715             ,0.06613             ,3456                ,1091                ,487                 ,0.18656             ,0.64533             
1600                ,0.75883             ,0.76436             ,0.06698             ,0.06599             ,3456                ,1091                ,482                 ,0.1888              ,0.64415             
1650                ,0.76027             ,0.76564             ,0.06678             ,0.06581             ,3456                ,1091                ,477                 ,0.19087             ,0.6424              
1700                ,0.7618              ,0.76659             ,0.06656             ,0.06568             ,3456                ,1091                ,471                 ,0.19181             ,0.64068             
1750                ,0.76324             ,0.76737             ,0.06636             ,0.06557             ,3456                ,1091                ,466                 ,0.19074             ,0.63874             
1800                ,0.76447             ,0.76809             ,0.06619             ,0.06546             ,3456                ,1091                ,461                 ,0.19073             ,0.63653             
1850                ,0.76557             ,0.76841             ,0.06603             ,0.06542             ,3456                ,1091                ,456                 ,0.18881             ,0.63394             
1900                ,0.76651             ,0.76888             ,0.0659              ,0.06535             ,3456                ,1091                ,451                 ,0.18681             ,0.63148             
1950                ,0.76733             ,0.76922             ,0.06579             ,0.06531             ,3456                ,1091                ,447                 ,0.18415             ,0.62896             
2000                ,0.76811             ,0.76966             ,0.06568             ,0.06524             ,3456                ,1091                ,442                 ,0.18119             ,0.62616             
2050                ,0.76884             ,0.77019             ,0.06557             ,0.06517             ,3456                ,1091                ,437                 ,0.17799             ,0.62318             
2100                ,0.7696              ,0.77055             ,0.06546             ,0.06512             ,3456                ,1091                ,433                 ,0.17452             ,0.62037             
2150                ,0.77021             ,0.77088             ,0.06538             ,0.06507             ,3456                ,1091                ,428                 ,0.17118             ,0.61741             
2200                ,0.77078             ,0.77124             ,0.0653              ,0.06502             ,3456                ,1091                ,424                 ,0.16766             ,0.61438             
2250                ,0.77136             ,0.77151             ,0.06521             ,0.06498             ,3456                ,1091                ,421                 ,0.16292             ,0.6114              
2300                ,0.77188             ,0.77181             ,0.06514             ,0.06494             ,3456                ,1091                ,417                 ,0.1591              ,0.60817             
2350                ,0.77233             ,0.77206             ,0.06507             ,0.0649              ,3456                ,1091                ,414                 ,0.1551              ,0.60486             
2400                ,0.77274             ,0.77227             ,0.06502             ,0.06487             ,3456                ,1091                ,410                 ,0.15139             ,0.60146             
2450                ,0.77307             ,0.77244             ,0.06497             ,0.06485             ,3456                ,1091                ,408                 ,0.14744             ,0.59825             
2500                ,0.77337             ,0.77261             ,0.06493             ,0.06482             ,3456                ,1091                ,405                 ,0.14328             ,0.59506             
2550                ,0.77354             ,0.77269             ,0.0649              ,0.06481             ,3456                ,1091                ,404                 ,0.13934             ,0.59207             
2600                ,0.77372             ,0.77281             ,0.06488             ,0.0648              ,3456                ,1091                ,403                 ,0.13662             ,0.58921             
2650                ,0.77386             ,0.77285             ,0.06486             ,0.06479             ,3456                ,1091                ,402                 ,0.13396             ,0.58644             
2700                ,0.77405             ,0.77297             ,0.06483             ,0.06477             ,3456                ,1091                ,401                 ,0.13099             ,0.58364             
2750                ,0.77413             ,0.77293             ,0.06482             ,0.06478             ,3456                ,1091                ,401                 ,0.12646             ,0.5807              
2800                ,0.77422             ,0.77294             ,0.0648              ,0.06478             ,3456                ,1091                ,401                 ,0.12288             ,0.57806             
2850                ,0.77432             ,0.77293             ,0.06479             ,0.06478             ,3456                ,1091                ,401                 ,0.12001             ,0.57563             
2900                ,0.77439             ,0.77289             ,0.06478             ,0.06478             ,3456                ,1091                ,401                 ,0.11704             ,0.57322             
2950                ,0.77447             ,0.77291             ,0.06477             ,0.06478             ,3456                ,1091                ,401                 ,0.11462             ,0.57095             
3000                ,0.77455             ,0.77293             ,0.06476             ,0.06478             ,3456                ,1091                ,401                 ,0.11234             ,0.56875             
3050                ,0.77463             ,0.77296             ,0.06475             ,0.06477             ,3456                ,1091                ,401                 ,0.11038             ,0.56659             
3100                ,0.7747              ,0.77299             ,0.06474             ,0.06477             ,3456                ,1091                ,401                 ,0.10856             ,0.56453             
3150                ,0.77477             ,0.773               ,0.06473             ,0.06477             ,3456                ,1091                ,401                 ,0.10661             ,0.56245             
3200                ,0.77484             ,0.77301             ,0.06472             ,0.06477             ,3456                ,1091                ,401                 ,0.10476             ,0.56037             
3250                ,0.7749              ,0.77301             ,0.06471             ,0.06477             ,3456                ,1091                ,401                 ,0.10296             ,0.55832             
3300                ,0.77495             ,0.77303             ,0.0647              ,0.06476             ,3456                ,1091                ,401                 ,0.1012              ,0.55632             
3350                ,0.77501             ,0.77303             ,0.06469             ,0.06476             ,3456                ,1091                ,401                 ,0.09947             ,0.55434             
3400                ,0.77506             ,0.77304             ,0.06468             ,0.06476             ,3456                ,1091                ,401                 ,0.09789             ,0.55242             
3450                ,0.77511             ,0.77307             ,0.06468             ,0.06476             ,3456                ,1091                ,401                 ,0.09644             ,0.55055             
3500                ,0.77516             ,0.77306             ,0.06467             ,0.06476             ,3456                ,1091                ,401                 ,0.09498             ,0.54872             
3550                ,0.7752              ,0.77294             ,0.06466             ,0.06478             ,3456                ,1091                ,401                 ,0.09242             ,0.54687             
3600                ,0.77522             ,0.77276             ,0.06466             ,0.0648              ,3456                ,1091                ,401                 ,0.08834             ,0.54449             
3650                ,0.77526             ,0.77275             ,0.06466             ,0.0648              ,3456                ,1091                ,401                 ,0.08564             ,0.54259             
3700                ,0.7753              ,0.77274             ,0.06465             ,0.06481             ,3456                ,1091                ,401                 ,0.08351             ,0.54092             
3750                ,0.77535             ,0.77275             ,0.06464             ,0.0648              ,3456                ,1091                ,401                 ,0.08148             ,0.53926             
3800                ,0.77539             ,0.77274             ,0.06464             ,0.06481             ,3456                ,1091                ,401                 ,0.07958             ,0.53767             
3850                ,0.77543             ,0.77276             ,0.06463             ,0.0648              ,3456                ,1091                ,401                 ,0.07785             ,0.53617             
3900                ,0.77547             ,0.77279             ,0.06462             ,0.0648              ,3456                ,1091                ,401                 ,0.07615             ,0.53465             
3950                ,0.77551             ,0.7728              ,0.06462             ,0.0648              ,3456                ,1091                ,401                 ,0.07465             ,0.53316             
4000                ,0.77555             ,0.77281             ,0.06461             ,0.06479             ,3456                ,1091                ,401                 ,0.07308             ,0.5317              
