epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3Alpha_0:i,GNDI3Alpha_0:j,GNDI3Alpha_0:k,GNDI3Alpha_0:alpha1_1,GNDI3Alpha_0:alpha1_2,GNDI3Alpha_0:alpha1_3,GNDI3Alpha_0:alpha1_4,GNDI3Alpha_0:alpha1_5,GNDI3Alpha_0:alpha1_6,GNDI3Alpha_0:alpha2_1,GNDI3Alpha_0:alpha2_2,GNDI3Alpha_0:alpha2_3,GNDI3Alpha_0:alpha2_4,GNDI3Alpha_0:alpha2_5,GNDI3Alpha_0:alpha2_6
50                  ,0.21999             ,0.23822             ,0.12045             ,0.11865             ,1294                ,409                 ,770                 ,0.56061             ,0.72803             ,0.1717              ,0.37942             ,0.69312             ,0.85343             ,0.0557              ,0.61778             ,0.27781             ,0.27527             ,0.39791             ,0.59295             
100                 ,0.34395             ,0.37095             ,0.11047             ,0.10782             ,1314                ,407                 ,741                 ,0.51937             ,0.6704              ,0.13184             ,0.33495             ,0.72796             ,0.81595             ,0.08162             ,0.56367             ,0.31805             ,0.30991             ,0.41263             ,0.57711             
150                 ,0.44221             ,0.47272             ,0.10186             ,0.09871             ,1293                ,394                 ,717                 ,0.48612             ,0.61318             ,0.07959             ,0.29124             ,0.75534             ,0.78137             ,0.09951             ,0.49942             ,0.35947             ,0.34296             ,0.42398             ,0.56494             
200                 ,0.51797             ,0.54909             ,0.09469             ,0.09128             ,1243                ,384                 ,697                 ,0.46542             ,0.55766             ,0.02407             ,0.25189             ,0.77482             ,0.7521              ,0.11204             ,0.44135             ,0.39676             ,0.3714              ,0.43259             ,0.55286             
250                 ,0.58587             ,0.61187             ,0.08777             ,0.08469             ,1181                ,382                 ,681                 ,0.45257             ,0.50567             ,-0.03273            ,0.21602             ,0.787               ,0.72627             ,0.11942             ,0.38756             ,0.43036             ,0.39615             ,0.4386              ,0.54389             
300                 ,0.64149             ,0.65689             ,0.08166             ,0.07963             ,1117                ,382                 ,670                 ,0.42995             ,0.4574              ,-0.07857            ,0.18946             ,0.79233             ,0.70647             ,0.12758             ,0.36042             ,0.45431             ,0.41343             ,0.44006             ,0.53305             
350                 ,0.6723              ,0.67467             ,0.07807             ,0.07754             ,1067                ,382                 ,663                 ,0.4021              ,0.41885             ,-0.12486            ,0.16826             ,0.79225             ,0.6892              ,0.13426             ,0.35132             ,0.474               ,0.42566             ,0.4399              ,0.52203             
400                 ,0.68903             ,0.68147             ,0.07605             ,0.07672             ,1029                ,382                 ,660                 ,0.36742             ,0.38976             ,-0.1673             ,0.15548             ,0.79003             ,0.67618             ,0.13976             ,0.36096             ,0.48607             ,0.43184             ,0.43807             ,0.5109              
450                 ,0.69774             ,0.68397             ,0.07498             ,0.07642             ,1001                ,382                 ,660                 ,0.33022             ,0.36773             ,-0.204              ,0.1469              ,0.7863              ,0.66481             ,0.1436              ,0.37478             ,0.4937              ,0.43479             ,0.43638             ,0.5011              
500                 ,0.70295             ,0.68462             ,0.07433             ,0.07634             ,982                 ,382                 ,661                 ,0.29455             ,0.34927             ,-0.23362            ,0.1396              ,0.78126             ,0.65346             ,0.14566             ,0.38804             ,0.49921             ,0.43636             ,0.43517             ,0.49198             
550                 ,0.70631             ,0.68532             ,0.07391             ,0.07626             ,969                 ,382                 ,662                 ,0.26114             ,0.33327             ,-0.25959            ,0.13379             ,0.77576             ,0.64197             ,0.14652             ,0.40098             ,0.50307             ,0.43679             ,0.43433             ,0.48302             
600                 ,0.7088              ,0.68588             ,0.0736              ,0.07619             ,959                 ,382                 ,663                 ,0.23047             ,0.31856             ,-0.28402            ,0.12879             ,0.76981             ,0.63029             ,0.14661             ,0.41263             ,0.50627             ,0.43656             ,0.43382             ,0.47373             
650                 ,0.71064             ,0.68636             ,0.07336             ,0.07613             ,954                 ,382                 ,664                 ,0.2025              ,0.30458             ,-0.30802            ,0.12419             ,0.76363             ,0.61829             ,0.14616             ,0.42331             ,0.50914             ,0.43591             ,0.43348             ,0.46452             
700                 ,0.71217             ,0.68694             ,0.07317             ,0.07606             ,952                 ,382                 ,664                 ,0.17714             ,0.29104             ,-0.33257            ,0.11969             ,0.75725             ,0.6061              ,0.14557             ,0.43262             ,0.51182             ,0.435               ,0.43322             ,0.45555             
750                 ,0.71349             ,0.68736             ,0.073               ,0.07601             ,952                 ,382                 ,664                 ,0.15454             ,0.27734             ,-0.35948            ,0.11499             ,0.7507              ,0.59361             ,0.14476             ,0.44106             ,0.51467             ,0.43399             ,0.4328              ,0.44672             
800                 ,0.71475             ,0.68788             ,0.07284             ,0.07595             ,953                 ,382                 ,664                 ,0.13448             ,0.26311             ,-0.3905             ,0.11008             ,0.74396             ,0.58087             ,0.14395             ,0.44922             ,0.51789             ,0.43287             ,0.43223             ,0.43801             
850                 ,0.71602             ,0.6882              ,0.07268             ,0.07591             ,954                 ,382                 ,663                 ,0.11664             ,0.24821             ,-0.42989            ,0.10502             ,0.73698             ,0.56796             ,0.14341             ,0.45735             ,0.52213             ,0.43162             ,0.43152             ,0.42947             
900                 ,0.7179              ,0.68872             ,0.07244             ,0.07584             ,961                 ,382                 ,661                 ,0.10093             ,0.23219             ,-0.4907             ,0.09947             ,0.72939             ,0.55493             ,0.14289             ,0.46582             ,0.52961             ,0.43029             ,0.43058             ,0.42067             
950                 ,0.71977             ,0.68824             ,0.0722              ,0.0759              ,968                 ,382                 ,660                 ,0.08687             ,0.21501             ,-0.53189            ,0.09171             ,0.72075             ,0.54188             ,0.14264             ,0.46923             ,0.53674             ,0.42989             ,0.42867             ,0.41131             
