epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3Alpha_0:i,GNDI3Alpha_0:j,GNDI3Alpha_0:k,GNDI3Alpha_0:alpha1_1,GNDI3Alpha_0:alpha1_2,GNDI3Alpha_0:alpha1_3,GNDI3Alpha_0:alpha1_4,GNDI3Alpha_0:alpha1_5,GNDI3Alpha_0:alpha1_6,GNDI3Alpha_0:alpha2_1,GNDI3Alpha_0:alpha2_2,GNDI3Alpha_0:alpha2_3,GNDI3Alpha_0:alpha2_4,GNDI3Alpha_0:alpha2_5,GNDI3Alpha_0:alpha2_6
50                  ,0                   ,0                   ,0.13885             ,0.13838             ,1527                ,3195                ,702                 ,0.08211             ,0.38935             ,0.90189             ,0.30524             ,0.50346             ,0.93754             ,0.7717              ,0.27645             ,0.65049             ,0.42719             ,0.91859             ,0.2948              
100                 ,0.06248             ,0.06823             ,0.13205             ,0.13122             ,1530                ,3198                ,690                 ,0.0635              ,0.39181             ,0.89999             ,0.31009             ,0.51156             ,0.93144             ,0.78164             ,0.26165             ,0.65419             ,0.42928             ,0.90943             ,0.29802             
150                 ,0.15729             ,0.1701              ,0.1252              ,0.12384             ,1525                ,3198                ,655                 ,0.04312             ,0.39057             ,0.89849             ,0.31698             ,0.51679             ,0.92215             ,0.78513             ,0.24707             ,0.65702             ,0.43063             ,0.90286             ,0.30291             
200                 ,0.24518             ,0.266               ,0.11849             ,0.11647             ,1514                ,3196                ,615                 ,0.02225             ,0.38109             ,0.89762             ,0.32648             ,0.51863             ,0.91002             ,0.78096             ,0.2413              ,0.65838             ,0.42921             ,0.89975             ,0.30889             
250                 ,0.3243              ,0.35156             ,0.11211             ,0.10947             ,1497                ,3192                ,578                 ,0.00086             ,0.36907             ,0.89679             ,0.33588             ,0.51775             ,0.89586             ,0.77117             ,0.24048             ,0.65858             ,0.42663             ,0.89969             ,0.31512             
300                 ,0.39031             ,0.42142             ,0.10649             ,0.1034              ,1476                ,3182                ,545                 ,-0.02364            ,0.35861             ,0.89579             ,0.34322             ,0.51532             ,0.88061             ,0.7578              ,0.24047             ,0.65798             ,0.42426             ,0.90163             ,0.32093             
350                 ,0.45736             ,0.48989             ,0.10047             ,0.09709             ,1450                ,3173                ,518                 ,-0.03236            ,0.34996             ,0.8941              ,0.34901             ,0.51279             ,0.86474             ,0.74088             ,0.24046             ,0.65678             ,0.42159             ,0.90382             ,0.32608             
400                 ,0.51608             ,0.54459             ,0.09487             ,0.09174             ,1419                ,3169                ,493                 ,-0.03072            ,0.34216             ,0.89214             ,0.35309             ,0.51155             ,0.84977             ,0.72311             ,0.24116             ,0.65533             ,0.41857             ,0.90459             ,0.3297              
450                 ,0.57146             ,0.59263             ,0.08928             ,0.08676             ,1382                ,3162                ,470                 ,-0.02086            ,0.33368             ,0.89049             ,0.35461             ,0.51068             ,0.83592             ,0.70676             ,0.24371             ,0.65433             ,0.41681             ,0.90498             ,0.33212             
500                 ,0.61749             ,0.63076             ,0.08435             ,0.0826              ,1343                ,3152                ,451                 ,-0.00531            ,0.32402             ,0.88915             ,0.35447             ,0.51047             ,0.82312             ,0.69354             ,0.24808             ,0.65403             ,0.41599             ,0.90452             ,0.33365             
550                 ,0.65045             ,0.65525             ,0.08063             ,0.07982             ,1298                ,3142                ,436                 ,-0.01925            ,0.31387             ,0.88793             ,0.35329             ,0.5104              ,0.81096             ,0.68148             ,0.25262             ,0.65409             ,0.41575             ,0.90372             ,0.3349              
600                 ,0.67384             ,0.67318             ,0.07789             ,0.07771             ,1252                ,3141                ,423                 ,-0.01897            ,0.30641             ,0.88682             ,0.35122             ,0.51074             ,0.80022             ,0.67402             ,0.25664             ,0.65419             ,0.41623             ,0.90229             ,0.33564             
650                 ,0.68951             ,0.68528             ,0.07599             ,0.07626             ,1209                ,3152                ,414                 ,-0.01811            ,0.3026              ,0.8855              ,0.3489              ,0.51145             ,0.79065             ,0.67143             ,0.25985             ,0.6542              ,0.41675             ,0.90022             ,0.33597             
700                 ,0.70287             ,0.69708             ,0.07434             ,0.07482             ,1169                ,3186                ,407                 ,-0.01717            ,0.30052             ,0.88406             ,0.34662             ,0.51202             ,0.78163             ,0.67179             ,0.26297             ,0.65395             ,0.41696             ,0.89794             ,0.33609             
750                 ,0.72198             ,0.71687             ,0.07191             ,0.07233             ,1132                ,3258                ,402                 ,-0.01609            ,0.29701             ,0.88231             ,0.34431             ,0.51224             ,0.77286             ,0.6738              ,0.26728             ,0.65351             ,0.41696             ,0.8956              ,0.33589             
800                 ,0.73933             ,0.73567             ,0.06963             ,0.06989             ,1109                ,3331                ,399                 ,-0.01484            ,0.29733             ,0.88026             ,0.34184             ,0.51248             ,0.76421             ,0.67703             ,0.27233             ,0.65287             ,0.41702             ,0.89313             ,0.33549             
850                 ,0.7467              ,0.74404             ,0.06864             ,0.06878             ,1097                ,3372                ,398                 ,-0.01359            ,0.30466             ,0.87813             ,0.33908             ,0.51279             ,0.75587             ,0.6817              ,0.27632             ,0.65199             ,0.41735             ,0.89046             ,0.33507             
900                 ,0.75058             ,0.74863             ,0.06811             ,0.06816             ,1090                ,3396                ,397                 ,-0.01242            ,0.31477             ,0.87592             ,0.33622             ,0.51296             ,0.74769             ,0.68699             ,0.27931             ,0.6509              ,0.41789             ,0.88769             ,0.33469             
950                 ,0.75297             ,0.75187             ,0.06779             ,0.06771             ,1083                ,3411                ,396                 ,-0.01131            ,0.32464             ,0.87356             ,0.33347             ,0.51302             ,0.73957             ,0.69274             ,0.28195             ,0.64965             ,0.41835             ,0.88473             ,0.33426             
1000                ,0.75447             ,0.75373             ,0.06758             ,0.06746             ,1080                ,3421                ,395                 ,-0.0103             ,0.33406             ,0.87118             ,0.33054             ,0.51276             ,0.73115             ,0.69759             ,0.28398             ,0.64837             ,0.419               ,0.88184             ,0.33399             
1050                ,0.7555              ,0.75511             ,0.06744             ,0.06727             ,1080                ,3428                ,395                 ,-0.00938            ,0.34177             ,0.86871             ,0.32751             ,0.51223             ,0.72252             ,0.70189             ,0.28581             ,0.64703             ,0.41968             ,0.87897             ,0.33381             
1100                ,0.75633             ,0.75639             ,0.06732             ,0.0671              ,1080                ,3435                ,395                 ,-0.00855            ,0.34753             ,0.86616             ,0.32443             ,0.51148             ,0.71366             ,0.70582             ,0.28782             ,0.64567             ,0.42026             ,0.87613             ,0.33365             
1150                ,0.75696             ,0.7574              ,0.06724             ,0.06696             ,1080                ,3440                ,395                 ,-0.00779            ,0.3522              ,0.86355             ,0.32123             ,0.51053             ,0.70452             ,0.7093              ,0.2898              ,0.64431             ,0.42081             ,0.8733              ,0.33357             
1200                ,0.75748             ,0.7581              ,0.06716             ,0.06686             ,1080                ,3444                ,395                 ,-0.00708            ,0.35575             ,0.86085             ,0.31791             ,0.50939             ,0.69507             ,0.71239             ,0.29188             ,0.64297             ,0.42131             ,0.87048             ,0.33357             
1250                ,0.75784             ,0.75864             ,0.06711             ,0.06678             ,1080                ,3445                ,395                 ,-0.00643            ,0.35811             ,0.85805             ,0.31451             ,0.5081              ,0.68535             ,0.71519             ,0.29405             ,0.64163             ,0.42174             ,0.86766             ,0.33362             
1300                ,0.75818             ,0.75882             ,0.06707             ,0.06676             ,1080                ,3445                ,396                 ,-0.00581            ,0.35944             ,0.8551              ,0.31104             ,0.50666             ,0.6752              ,0.71744             ,0.29652             ,0.64038             ,0.42197             ,0.86485             ,0.33379             
1350                ,0.75846             ,0.75923             ,0.06703             ,0.0667              ,1080                ,3445                ,396                 ,-0.00521            ,0.35921             ,0.85202             ,0.30757             ,0.5051              ,0.66494             ,0.71998             ,0.29928             ,0.63905             ,0.42206             ,0.86198             ,0.33389             
1400                ,0.75867             ,0.75955             ,0.067               ,0.06666             ,1080                ,3445                ,396                 ,-0.00467            ,0.35851             ,0.84887             ,0.30396             ,0.50335             ,0.65452             ,0.72233             ,0.3019              ,0.63767             ,0.42213             ,0.85911             ,0.33402             
1450                ,0.75887             ,0.7598              ,0.06697             ,0.06662             ,1080                ,3445                ,396                 ,-0.00415            ,0.35724             ,0.84565             ,0.30022             ,0.50146             ,0.64386             ,0.72439             ,0.30456             ,0.63628             ,0.42219             ,0.85623             ,0.33421             
1500                ,0.75905             ,0.76008             ,0.06695             ,0.06659             ,1080                ,3445                ,396                 ,-0.00366            ,0.35539             ,0.84234             ,0.29639             ,0.4995              ,0.63302             ,0.72635             ,0.30723             ,0.63487             ,0.42224             ,0.85328             ,0.33441             
1550                ,0.75921             ,0.76034             ,0.06692             ,0.06655             ,1080                ,3445                ,396                 ,-0.00318            ,0.35308             ,0.83894             ,0.29248             ,0.49744             ,0.62199             ,0.72822             ,0.31                ,0.63343             ,0.42223             ,0.85027             ,0.33462             
1600                ,0.75938             ,0.76048             ,0.0669              ,0.06653             ,1080                ,3445                ,396                 ,-0.00272            ,0.35047             ,0.83549             ,0.28841             ,0.49525             ,0.61069             ,0.72971             ,0.31272             ,0.632               ,0.42231             ,0.84727             ,0.33489             
1650                ,0.75954             ,0.76064             ,0.06688             ,0.06651             ,1080                ,3445                ,396                 ,-0.00227            ,0.34726             ,0.83194             ,0.28428             ,0.493               ,0.5992              ,0.73126             ,0.31566             ,0.63053             ,0.42232             ,0.84421             ,0.33517             
1700                ,0.7597              ,0.7607              ,0.06686             ,0.0665              ,1080                ,3445                ,396                 ,-0.00183            ,0.34543             ,0.8283              ,0.28009             ,0.49058             ,0.58752             ,0.73267             ,0.31878             ,0.62904             ,0.42227             ,0.84113             ,0.33552             
1750                ,0.75984             ,0.76088             ,0.06684             ,0.06647             ,1080                ,3445                ,396                 ,-0.00139            ,0.34486             ,0.82457             ,0.2759              ,0.48804             ,0.57581             ,0.73431             ,0.32219             ,0.62742             ,0.42212             ,0.83794             ,0.33584             
1800                ,0.75997             ,0.76106             ,0.06682             ,0.06645             ,1080                ,3445                ,396                 ,-0.00096            ,0.3438              ,0.82075             ,0.27167             ,0.48544             ,0.56397             ,0.73592             ,0.32567             ,0.62574             ,0.42194             ,0.83466             ,0.33616             
1850                ,0.7601              ,0.76123             ,0.0668              ,0.06643             ,1080                ,3445                ,396                 ,-0.00054            ,0.34249             ,0.81682             ,0.26738             ,0.48278             ,0.552               ,0.73746             ,0.32912             ,0.62403             ,0.42174             ,0.83129             ,0.3365              
1900                ,0.76022             ,0.76139             ,0.06678             ,0.0664              ,1081                ,3445                ,396                 ,-0.00014            ,0.34092             ,0.8128              ,0.263               ,0.48003             ,0.5399              ,0.73889             ,0.33254             ,0.62227             ,0.42154             ,0.82786             ,0.33686             
1950                ,0.76034             ,0.76152             ,0.06677             ,0.06639             ,1081                ,3445                ,396                 ,-7e-05              ,0.33889             ,0.80871             ,0.25857             ,0.47717             ,0.5277              ,0.74022             ,0.33612             ,0.62044             ,0.42132             ,0.8244              ,0.33722             
2000                ,0.76045             ,0.76164             ,0.06675             ,0.06637             ,1081                ,3445                ,396                 ,-7e-05              ,0.33657             ,0.80453             ,0.25408             ,0.47418             ,0.51544             ,0.74149             ,0.3399              ,0.6185              ,0.42105             ,0.82091             ,0.33758             
2050                ,0.76057             ,0.76178             ,0.06673             ,0.06635             ,1081                ,3445                ,396                 ,-7e-05              ,0.33377             ,0.80028             ,0.24954             ,0.47112             ,0.5031              ,0.74272             ,0.34386             ,0.6165              ,0.42075             ,0.81737             ,0.33793             
2100                ,0.7607              ,0.76191             ,0.06672             ,0.06633             ,1081                ,3445                ,396                 ,-7e-05              ,0.3306              ,0.796               ,0.24495             ,0.46793             ,0.49069             ,0.74377             ,0.34809             ,0.61439             ,0.42042             ,0.81383             ,0.33828             
