epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4Alpha_0:i,GNDI4Alpha_0:j,GNDI4Alpha_0:k,GNDI4Alpha_0:l,GNDI4Alpha_0:alpha1_1,GNDI4Alpha_0:alpha1_2,GNDI4Alpha_0:alpha1_3,GNDI4Alpha_0:alpha1_4,GNDI4Alpha_0:alpha1_5,GNDI4Alpha_0:alpha1_6,GNDI4Alpha_0:alpha1_7,GNDI4Alpha_0:alpha1_8,GNDI4Alpha_0:alpha1_9,GNDI4Alpha_0:alpha1_10,GNDI4Alpha_0:alpha1_11,GNDI4Alpha_0:alpha1_12,GNDI4Alpha_0:alpha1_13,GNDI4Alpha_0:alpha1_14,GNDI4Alpha_0:alpha1_15,GNDI4Alpha_0:alpha1_16,GNDI4Alpha_0:alpha1_17,GNDI4Alpha_0:alpha1_18,GNDI4Alpha_0:alpha1_19,GNDI4Alpha_0:alpha1_20,GNDI4Alpha_0:alpha1_21,GNDI4Alpha_0:alpha1_22,GNDI4Alpha_0:alpha1_23,GNDI4Alpha_0:alpha1_24,GNDI4Alpha_0:alpha2_1,GNDI4Alpha_0:alpha2_2,GNDI4Alpha_0:alpha2_3,GNDI4Alpha_0:alpha2_4,GNDI4Alpha_0:alpha2_5,GNDI4Alpha_0:alpha2_6,GNDI4Alpha_0:alpha2_7,GNDI4Alpha_0:alpha2_8,GNDI4Alpha_0:alpha2_9,GNDI4Alpha_0:alpha2_10,GNDI4Alpha_0:alpha2_11,GNDI4Alpha_0:alpha2_12,GNDI4Alpha_0:alpha2_13,GNDI4Alpha_0:alpha2_14,GNDI4Alpha_0:alpha2_15,GNDI4Alpha_0:alpha2_16,GNDI4Alpha_0:alpha2_17,GNDI4Alpha_0:alpha2_18,GNDI4Alpha_0:alpha2_19,GNDI4Alpha_0:alpha2_20,GNDI4Alpha_0:alpha2_21,GNDI4Alpha_0:alpha2_22,GNDI4Alpha_0:alpha2_23,GNDI4Alpha_0:alpha2_24,GNDI4Alpha_0:alpha3_1,GNDI4Alpha_0:alpha3_2,GNDI4Alpha_0:alpha3_3,GNDI4Alpha_0:alpha3_4,GNDI4Alpha_0:alpha3_5,GNDI4Alpha_0:alpha3_6,GNDI4Alpha_0:alpha3_7,GNDI4Alpha_0:alpha3_8,GNDI4Alpha_0:alpha3_9,GNDI4Alpha_0:alpha3_10,GNDI4Alpha_0:alpha3_11,GNDI4Alpha_0:alpha3_12,GNDI4Alpha_0:alpha3_13,GNDI4Alpha_0:alpha3_14,GNDI4Alpha_0:alpha3_15,GNDI4Alpha_0:alpha3_16,GNDI4Alpha_0:alpha3_17,GNDI4Alpha_0:alpha3_18,GNDI4Alpha_0:alpha3_19,GNDI4Alpha_0:alpha3_20,GNDI4Alpha_0:alpha3_21,GNDI4Alpha_0:alpha3_22,GNDI4Alpha_0:alpha3_23,GNDI4Alpha_0:alpha3_24
50                  ,0.3351              ,0.35886             ,0.11121             ,0.10885             ,2021                ,120                 ,693                 ,2887                ,0.58269             ,0.4067              ,0.42221             ,0.02482             ,0.1182              ,0.77677             ,0.26004             ,0.10941             ,0.1993              ,0.87817             ,0.07915             ,0.67562             ,0.53205             ,0.27401             ,0.96077             ,0.031               ,0.9737              ,0.47032             ,0.61613             ,0.43438             ,0.45554             ,0.32644             ,0.80136             ,0.88514             ,0.96531             ,0.21305             ,0.71192             ,0.5726              ,0.52213             ,0.85178             ,0.46088             ,0.61731             ,0.55675             ,0.23272             ,0.85659             ,0.47189             ,0.09218             ,0.7814              ,0.50644             ,0.38581             ,0.73713             ,0.33479             ,0.79227             ,0.49198             ,0.03561             ,0.7284              ,0.20458             ,0.65635             ,0.04282             ,0.64722             ,0.31754             ,0.77571             ,0.10832             ,0.22983             ,0.7969              ,0.74333             ,0.23604             ,0.56241             ,0.49492             ,0.19587             ,0.93709             ,0.37114             ,0.35938             ,0.59436             ,0.03242             ,0.54807             ,0.75015             ,0.11826             ,0.45954             ,0.4498              ,0.13959             ,0.1125              
100                 ,0.43824             ,0.46049             ,0.10222             ,0.09985             ,2020                ,126                 ,652                 ,2906                ,0.57271             ,0.38333             ,0.40982             ,0.02032             ,0.11541             ,0.7595              ,0.20755             ,0.11698             ,0.19863             ,0.84119             ,0.06822             ,0.6638              ,0.51803             ,0.26895             ,0.92168             ,0.03276             ,0.95224             ,0.47021             ,0.60124             ,0.45041             ,0.41036             ,0.339               ,0.7759              ,0.86724             ,0.93394             ,0.18944             ,0.67275             ,0.56422             ,0.47779             ,0.80821             ,0.40611             ,0.6177              ,0.50867             ,0.23162             ,0.81515             ,0.46705             ,0.07277             ,0.73938             ,0.47546             ,0.37279             ,0.72252             ,0.33094             ,0.74501             ,0.4603              ,0.00204             ,0.69426             ,0.16025             ,0.64251             ,0.04327             ,0.64105             ,0.31625             ,0.76078             ,0.08925             ,0.23441             ,0.75255             ,0.73311             ,0.232               ,0.56024             ,0.49402             ,0.20009             ,0.9388              ,0.34859             ,0.3539              ,0.59103             ,0.02351             ,0.55143             ,0.74974             ,0.11509             ,0.45727             ,0.45536             ,0.13704             ,0.10685             
150                 ,0.51297             ,0.52588             ,0.09518             ,0.0936              ,2019                ,131                 ,613                 ,2914                ,0.55704             ,0.35727             ,0.39461             ,0.01836             ,0.11076             ,0.73837             ,0.15152             ,0.12886             ,0.19423             ,0.80292             ,0.0481              ,0.65034             ,0.5042              ,0.26271             ,0.88078             ,0.02615             ,0.93083             ,0.47164             ,0.58629             ,0.4637              ,0.36884             ,0.34669             ,0.74876             ,0.84738             ,0.89691             ,0.16868             ,0.63162             ,0.55666             ,0.43364             ,0.75198             ,0.36015             ,0.62969             ,0.46161             ,0.23251             ,0.77472             ,0.46195             ,0.05219             ,0.69102             ,0.44119             ,0.35152             ,0.70716             ,0.3294              ,0.6966              ,0.43609             ,-0.01883            ,0.65519             ,0.12033             ,0.62739             ,0.04246             ,0.63394             ,0.31637             ,0.74757             ,0.06663             ,0.23686             ,0.70325             ,0.72146             ,0.23012             ,0.56058             ,0.49385             ,0.20544             ,0.94015             ,0.31524             ,0.34906             ,0.58544             ,0.01922             ,0.55598             ,0.74705             ,0.1128              ,0.45125             ,0.45749             ,0.13581             ,0.1008              
200                 ,0.5562              ,0.55916             ,0.09086             ,0.09026             ,2017                ,136                 ,580                 ,2907                ,0.53626             ,0.33418             ,0.3803              ,0.01979             ,0.10167             ,0.71419             ,0.09934             ,0.1495              ,0.18402             ,0.76312             ,0.02267             ,0.63559             ,0.49098             ,0.26342             ,0.83895             ,0.02089             ,0.90833             ,0.47273             ,0.573               ,0.4722              ,0.3296              ,0.34308             ,0.72274             ,0.82795             ,0.85673             ,0.15564             ,0.59373             ,0.55205             ,0.38964             ,0.69836             ,0.32626             ,0.63605             ,0.41707             ,0.2265              ,0.7348              ,0.45613             ,0.03182             ,0.64235             ,0.40695             ,0.32496             ,0.69077             ,0.32888             ,0.65059             ,0.42014             ,-0.00625            ,0.61228             ,0.09238             ,0.61338             ,0.04148             ,0.62952             ,0.31645             ,0.73681             ,0.04374             ,0.24091             ,0.64037             ,0.71496             ,0.22717             ,0.56096             ,0.49638             ,0.21027             ,0.93965             ,0.28553             ,0.34438             ,0.58071             ,0.01913             ,0.55974             ,0.73913             ,0.11468             ,0.44694             ,0.45466             ,0.13875             ,0.09674             
250                 ,0.58358             ,0.58159             ,0.08801             ,0.08793             ,2015                ,140                 ,552                 ,2894                ,0.51257             ,0.31346             ,0.36774             ,0.0219              ,0.09281             ,0.69163             ,0.05366             ,0.171               ,0.17194             ,0.72214             ,-0.00587            ,0.61836             ,0.47865             ,0.27088             ,0.7965              ,0.01963             ,0.88379             ,0.47345             ,0.56051             ,0.47563             ,0.29126             ,0.32975             ,0.69686             ,0.80792             ,0.81562             ,0.14711             ,0.55982             ,0.55036             ,0.34711             ,0.65514             ,0.29892             ,0.63097             ,0.37614             ,0.2099              ,0.6976              ,0.44795             ,0.01237             ,0.59934             ,0.37207             ,0.30028             ,0.67242             ,0.32936             ,0.60935             ,0.40909             ,0.02315             ,0.56943             ,0.07593             ,0.59914             ,0.04096             ,0.6277              ,0.31494             ,0.72935             ,0.02534             ,0.24864             ,0.56948             ,0.70879             ,0.22574             ,0.56127             ,0.49799             ,0.21335             ,0.93697             ,0.26679             ,0.33975             ,0.5735              ,0.01973             ,0.56256             ,0.72629             ,0.11936             ,0.44753             ,0.44636             ,0.14475             ,0.09363             
300                 ,0.60624             ,0.60544             ,0.08558             ,0.08539             ,2012                ,143                 ,529                 ,2876                ,0.48763             ,0.29314             ,0.35556             ,0.02214             ,0.08488             ,0.66803             ,0.02399             ,0.18743             ,0.15925             ,0.68109             ,-0.0345             ,0.59929             ,0.46752             ,0.2788              ,0.75453             ,0.02192             ,0.8578              ,0.47391             ,0.54867             ,0.47668             ,0.25405             ,0.31393             ,0.67015             ,0.78695             ,0.77481             ,0.1398              ,0.52812             ,0.55166             ,0.30614             ,0.61643             ,0.2731              ,0.61569             ,0.33782             ,0.18729             ,0.66335             ,0.43818             ,-0.0066             ,0.56243             ,0.33706             ,0.27575             ,0.65269             ,0.33022             ,0.57135             ,0.40058             ,0.04752             ,0.52676             ,0.06443             ,0.58416             ,0.04069             ,0.62568             ,0.312               ,0.72317             ,0.00839             ,0.25569             ,0.5125              ,0.69981             ,0.22506             ,0.56107             ,0.49545             ,0.21579             ,0.93337             ,0.25299             ,0.33547             ,0.56634             ,0.02077             ,0.56505             ,0.71207             ,0.12486             ,0.4483              ,0.4379              ,0.15104             ,0.09098             
350                 ,0.62622             ,0.62698             ,0.08338             ,0.08303             ,2010                ,145                 ,510                 ,2831                ,0.46231             ,0.27277             ,0.34381             ,0.01847             ,0.0791              ,0.64405             ,0.00855             ,0.19713             ,0.14676             ,0.64                ,-0.0633             ,0.5791              ,0.45775             ,0.28357             ,0.71337             ,0.02566             ,0.83136             ,0.47403             ,0.53653             ,0.47842             ,0.21889             ,0.29774             ,0.64265             ,0.76515             ,0.73481             ,0.13204             ,0.49792             ,0.55472             ,0.26602             ,0.58032             ,0.2481              ,0.59265             ,0.30202             ,0.16115             ,0.63306             ,0.42771             ,-0.02512            ,0.52997             ,0.30231             ,0.25196             ,0.63265             ,0.33133             ,0.53544             ,0.39213             ,0.05765             ,0.48459             ,0.05056             ,0.56845             ,0.04086             ,0.62224             ,0.30925             ,0.71717             ,-0.00578            ,0.25925             ,0.46638             ,0.68641             ,0.22464             ,0.56049             ,0.48657             ,0.21786             ,0.92968             ,0.23721             ,0.33173             ,0.56108             ,0.02345             ,0.5675              ,0.6982              ,0.13008             ,0.44438             ,0.4311              ,0.15568             ,0.08876             
400                 ,0.64147             ,0.64201             ,0.08166             ,0.08134             ,2007                ,147                 ,494                 ,2798                ,0.43671             ,0.25294             ,0.33232             ,0.01288             ,0.07724             ,0.61956             ,0.00068             ,0.2016              ,0.13422             ,0.60026             ,-0.09051            ,0.55802             ,0.44943             ,0.28665             ,0.67294             ,0.03107             ,0.80449             ,0.47386             ,0.5242              ,0.48014             ,0.18668             ,0.27993             ,0.61485             ,0.74276             ,0.69563             ,0.12525             ,0.46907             ,0.55857             ,0.22499             ,0.54589             ,0.22389             ,0.56166             ,0.26904             ,0.13469             ,0.60486             ,0.41631             ,-0.04309            ,0.50181             ,0.26819             ,0.23007             ,0.61219             ,0.33273             ,0.50155             ,0.3843              ,0.06291             ,0.44383             ,0.03673             ,0.5522              ,0.04109             ,0.61809             ,0.30672             ,0.70997             ,-0.0241             ,0.25969             ,0.42226             ,0.66975             ,0.22485             ,0.55993             ,0.47429             ,0.21957             ,0.92525             ,0.22162             ,0.32843             ,0.55627             ,0.02696             ,0.56956             ,0.68365             ,0.13492             ,0.43783             ,0.42408             ,0.15872             ,0.08714             
450                 ,0.65349             ,0.65349             ,0.08028             ,0.08002             ,2003                ,148                 ,479                 ,2778                ,0.41119             ,0.23377             ,0.32037             ,0.00758             ,0.08194             ,0.59381             ,-0.00249            ,0.20249             ,0.12167             ,0.56253             ,-0.11363            ,0.53615             ,0.44238             ,0.28874             ,0.63348             ,0.03715             ,0.77723             ,0.47331             ,0.51169             ,0.48087             ,0.15786             ,0.26083             ,0.58701             ,0.71993             ,0.65744             ,0.12004             ,0.44093             ,0.56199             ,0.18394             ,0.51044             ,0.20011             ,0.52316             ,0.23874             ,0.11228             ,0.57413             ,0.40395             ,-0.0601             ,0.47722             ,0.23574             ,0.20956             ,0.59127             ,0.33415             ,0.46875             ,0.37832             ,0.06588             ,0.40449             ,0.02513             ,0.53553             ,0.04114             ,0.61357             ,0.30439             ,0.69996             ,-0.04672            ,0.25801             ,0.38223             ,0.6518              ,0.22527             ,0.55937             ,0.46051             ,0.22114             ,0.91983             ,0.20889             ,0.32557             ,0.55211             ,0.03074             ,0.5709              ,0.66821             ,0.13933             ,0.43016             ,0.41719             ,0.16089             ,0.08629             
500                 ,0.6634              ,0.66299             ,0.07913             ,0.07892             ,2001                ,148                 ,465                 ,2751                ,0.38599             ,0.21526             ,0.30776             ,0.00247             ,0.09186             ,0.56897             ,-0.00341            ,0.19935             ,0.1097              ,0.52641             ,-0.13128            ,0.51312             ,0.43629             ,0.28979             ,0.59524             ,0.04201             ,0.74967             ,0.47248             ,0.49881             ,0.47958             ,0.13254             ,0.24079             ,0.55933             ,0.69668             ,0.62034             ,0.11643             ,0.41352             ,0.56328             ,0.15026             ,0.47496             ,0.17709             ,0.48156             ,0.21099             ,0.09367             ,0.5391              ,0.39021             ,-0.07588            ,0.45535             ,0.20564             ,0.19178             ,0.56991             ,0.33576             ,0.43677             ,0.37344             ,0.06246             ,0.36682             ,0.01712             ,0.51842             ,0.04114             ,0.60871             ,0.30163             ,0.6871              ,-0.07153            ,0.2556              ,0.34526             ,0.63117             ,0.22698             ,0.55902             ,0.44279             ,0.22207             ,0.91332             ,0.1997              ,0.32341             ,0.54706             ,0.03431             ,0.57162             ,0.65172             ,0.14313             ,0.42151             ,0.41024             ,0.16231             ,0.08588             
