features,samples,r2_train,r2_validation,r2_test,rmse_train,rmse_validation,rmse_test,csv_file,sis
4200,21782,0.70,0.69,0.66,0.07,0.08,0.08,results\1708000461419781.csv,GNDI4Alpha:1
4200,21782,0.75,0.74,0.73,0.07,0.07,0.07,results\1708000674184203.csv,GNDI4Alpha:1
4200,21782,0.80,0.80,0.79,0.06,0.06,0.07,results\170800088432519.csv,GNDI4Alpha:1
4200,21782,0.83,0.82,0.82,0.06,0.06,0.06,results\1708001093507884.csv,GNDI4Alpha:1
4200,21782,0.57,0.59,0.56,0.09,0.09,0.09,results\1708001298526141.csv,GNDI4Alpha:1
4200,21782,0.77,0.77,0.76,0.06,0.06,0.07,results\1708001501403192.csv,GNDI4Alpha:1
4200,21782,0.72,0.71,0.67,0.07,0.07,0.08,results\1708001708192364.csv,GNDI4Alpha:1
4200,21782,0.78,0.77,0.76,0.06,0.06,0.07,results\1708001913935169.csv,GNDI4Alpha:1
4200,21782,0.78,0.79,0.76,0.06,0.06,0.07,results\170800211762551.csv,GNDI4Alpha:1
4200,21782,0.80,0.80,0.79,0.06,0.06,0.07,results\1708002325948131.csv,GNDI4Alpha:1
